30° 58.283'E, 20° 13.785'S
30° 58.289'E, 20° 13.947'S
30° 58.567'E, 20° 13.987'S
30° 58.790'E, 20° 13.998'S
30° 59.038'E, 20° 13.742'S
30° 59.516'E, 20° 13.858'S
31° 0.038'E, 20° 13.160'S
30° 59.842'E, 20° 13.223'S
31° 0.052'E, 20° 13.319'S
30° 59.920'E, 20° 13.364'S
31° 0.427'E, 20° 13.436'S
31° 0.191'E, 20° 13.516'S
30° 59.276'E, 20° 14.156'S
30° 59.669'E, 20° 14.174'S
30° 59.653'E, 20° 14.499'S
30° 59.178'E, 20° 12.718'S
30° 59.266'E, 20° 12.586'S
30° 59.566'E, 20° 12.708'S
30° 56.866'E, 20° 13.841'S
30° 57.088'E, 20° 14.033'S
30° 57.197'E, 20° 14.104'S
30° 57.445'E, 20° 14.380'S
30° 57.258'E, 20° 13.888'S
30° 57.687'E, 20° 13.465'S
30° 55.885'E, 20° 14.291'S
30° 55.900'E, 20° 14.185'S
30° 56.385'E, 20° 14.126'S
30° 56.254'E, 20° 14.050'S
30° 56.258'E, 20° 13.855'S
30° 56.469'E, 20° 13.937'S
31° 1.411'E, 20° 15.730'S
31° 1.575'E, 20° 15.899'S
31° 1.520'E, 20° 15.431'S
31° 1.379'E, 20° 15.103'S
31° 1.762'E, 20° 15.393'S
31° 1.841'E, 20° 15.016'S
30° 59.684'E, 20° 14.501'S
30° 59.972'E, 20° 14.415'S
31° 0.023'E, 20° 14.843'S
31° 0.676'E, 20° 14.874'S
31° 0.946'E, 20° 15.422'S
31° 1.295'E, 20° 15.448'S
31° 1.563'E, 20° 13.550'S
31° 1.699'E, 20° 13.649'S
31° 1.583'E, 20° 13.916'S
31° 1.702'E, 20° 13.960'S
31° 1.555'E, 20° 14.305'S
31° 1.658'E, 20° 14.172'S
31° 1.411'E, 20° 15.730'S
31° 1.575'E, 20° 15.899'S
31° 1.520'E, 20° 15.431'S
31° 1.379'E, 20° 15.103'S
31° 1.762'E, 20° 15.393'S
31° 1.841'E, 20° 15.016'S
30° 57.653'E, 20° 13.339'S
30° 57.962'E, 20° 13.272'S
30° 57.976'E, 20° 13.542'S
30° 58.169'E, 20° 13.470'S
30° 58.292'E, 20° 13.582'S
30° 58.448'E, 20° 13.675'S
30° 56.475'E, 20° 12.667'S
30° 56.652'E, 20° 12.709'S
30° 56.665'E, 20° 12.900'S
30° 56.821'E, 20° 12.756'S
30° 57.027'E, 20° 12.850'S
30° 57.293'E, 20° 12.926'S
30° 56.445'E, 20° 11.795'S
30° 56.778'E, 20° 11.811'S
30° 56.931'E, 20° 11.540'S
30° 57.270'E, 20° 11.777'S
30° 57.455'E, 20° 11.619'S
30° 57.926'E, 20° 11.708'S
30° 54.439'E, 20° 11.370'S
30° 54.270'E, 20° 11.587'S
30° 54.314'E, 20° 11.898'S
30° 54.529'E, 20° 11.981'S
30° 54.445'E, 20° 11.947'S
30° 54.558'E, 20° 11.814'S
30° 55.023'E, 20° 11.459'S
30° 55.068'E, 20° 11.519'S
30° 55.078'E, 20° 11.454'S
30° 55.353'E, 20° 11.347'S
30° 55.275'E, 20° 11.449'S
30° 55.436'E, 20° 11.465'S
30° 54.577'E, 20° 11.134'S
30° 54.445'E, 20° 11.049'S
30° 54.427'E, 20° 10.784'S
30° 54.219'E, 20° 10.987'S
30° 53.953'E, 20° 10.955'S
30° 53.926'E, 20° 11.043'S
30° 57.126'E, 20° 13.392'S
30° 56.669'E, 20° 13.684'S
30° 56.237'E, 20° 13.705'S
30° 56.053'E, 20° 13.784'S
30° 55.943'E, 20° 14.078'S
30° 55.385'E, 20° 14.086'S
30° 55.138'E, 20° 11.837'S
30° 54.987'E, 20° 12.097'S
30° 55.215'E, 20° 12.384'S
30° 55.490'E, 20° 12.467'S
30° 55.859'E, 20° 11.268'S
30° 56.152'E, 20° 11.329'S
30° 55.649'E, 20° 10.266'S
30° 55.753'E, 20° 10.282'S
30° 55.579'E, 20° 10.488'S
30° 55.445'E, 20° 10.858'S
30° 55.201'E, 20° 11.018'S
30° 54.843'E, 20° 11.042'S
30° 57.934'E, 20° 12.318'S
30° 58.197'E, 20° 12.335'S
30° 58.207'E, 20° 12.456'S
30° 58.284'E, 20° 12.501'S
30° 58.151'E, 20° 12.649'S
30° 56.343'E, 20° 13.018'S
30° 55.316'E, 20° 9.492'S
30° 55.364'E, 20° 9.530'S
30° 55.241'E, 20° 9.671'S
30° 55.314'E, 20° 9.996'S
30° 55.233'E, 20° 10.170'S
30° 55.298'E, 20° 10.201'S
30° 55.405'E, 20° 8.607'S  
30° 55.573'E, 20° 8.308'S  
30° 55.538'E, 20° 8.150'S  
30° 55.624'E, 20° 8.399'S  
30° 55.786'E, 20° 8.411'S  
30° 55.625'E, 20° 8.465'S  
30° 55.947'E, 20° 9.395'S  
30° 55.920'E, 20° 9.636'S  
30° 56.036'E, 20° 9.693'S  
30° 55.937'E, 20° 10.137'S  
30° 54.609'E, 20° 9.300'S  
30° 55.042'E, 20° 9.332'S  
30° 54.369'E, 20° 8.331'S  
30° 54.537'E, 20° 8.331'S  
30° 54.645'E, 20° 8.232'S  
30° 54.739'E, 20° 8.284'S  
30° 54.807'E, 20° 8.553'S  
30° 55.030'E, 20° 8.734'S  
30° 55.533'E, 20° 8.643'S  
30° 55.620'E, 20° 8.781'S  
30° 55.580'E, 20° 8.962'S  
30° 55.670'E, 20° 9.071'S  
30° 55.546'E, 20° 9.317'S  
30° 55.852'E, 20° 9.232'S  
30° 54.413'E, 20° 11.032'S  
30° 54.456'E, 20° 11.122'S  
30° 55.523'E, 20° 11.098'S  
30° 56.148'E, 20° 10.871'S  
30° 55.729'E, 20° 10.883'S  
30° 55.577'E, 20° 10.632'S  
30° 57.333'E, 20° 11.839'S  
30° 56.127'E, 20° 10.900'S  
30° 55.808'E, 20° 10.869'S  
30° 55.476'E, 20° 11.312'S  
30° 55.049'E, 20° 11.363'S  
30° 54.736'E, 20° 11.529'S  
30° 54.205'E, 20° 8.509'S  
30° 54.218'E, 20° 8.358'S  
30° 54.272'E, 20° 8.581'S  
30° 54.478'E, 20° 8.619'S  
30° 54.645'E, 20° 8.958'S  
30° 54.917'E, 20° 9.012'S  
30° 54.381'E, 20° 11.853'S  
30° 54.648'E, 20° 11.328'S  
30° 54.045'E, 20° 11.006'S  
30° 53.947'E, 20° 11.052'S  
30° 54.431'E, 20° 10.758'S  
30° 54.110'E, 20° 11.153'S  
30° 56.680'E, 20° 13.017'S  
30° 56.264'E, 20° 12.901'S  
30° 55.998'E, 20° 12.505'S  
30° 55.487'E, 20° 12.734'S  
30° 55.332'E, 20° 12.862'S  
30° 55.432'E, 20° 12.188'S  
30° 55.238'E, 20° 12.106'S  
30° 55.485'E, 20° 11.632'S  
30° 56.187'E, 20° 11.436'S  
30° 56.217'E, 20° 11.993'S  
30° 56.820'E, 20° 11.380'S  
30° 58.231'E, 20° 11.556'S  
30° 56.840'E, 20° 13.853'S
30° 57.409'E, 20° 14.286'S
30° 57.395'E, 20° 14.312'S
30° 57.239'E, 20° 13.905'S
30° 57.876'E, 20° 13.262'S
30° 57.993'E, 20° 13.571'S
31° 1.543'E, 20° 15.867'S
31° 1.429'E, 20° 15.517'S
31° 1.064'E, 20° 15.318'S
31° 0.285'E, 20° 14.680'S
31° 1.963'E, 20° 15.004'S
31° 2.675'E, 20° 14.370'S
30° 58.241'E, 20° 13.494'S
30° 58.469'E, 20° 13.691'S
30° 58.300'E, 20° 13.978'S
30° 58.765'E, 20° 14.004'S
30° 59.226'E, 20° 13.698'S
30° 59.533'E, 20° 13.919'S
30° 57.281'E, 20° 12.912'S
30° 57.076'E, 20° 13.666'S
30° 56.629'E, 20° 13.795'S
30° 56.103'E, 20° 14.125'S
30° 56.735'E, 20° 13.914'S
