 30° 56.347'E, 20° 9.077'S
 30° 56.303'E, 20° 10.521'S
 30° 56.282'E, 20° 11.665'S
 30° 56.609'E, 20° 11.816'S
 30° 56.853'E, 20° 11.604'S
 30° 57.177'E, 20° 10.316'S
 30° 57.296'E, 20° 9.288'S
 30° 58.645'E, 20° 7.861'S
 31° 0.540'E, 20° 7.306'S
 30° 59.369'E, 20° 8.276'S
 30° 58.571'E, 20° 9.167'S
 30° 59.603'E, 20° 9.617'S
 30° 59.062'E, 20° 10.975'S
 30° 57.667'E, 20° 12.114'S
 30° 58.239'E, 20° 12.463'S
 30° 58.885'E, 20° 11.910'S
 30° 58.278'E, 20° 12.719'S
 30° 58.964'E, 20° 12.939'S
 30° 59.194'E, 20° 12.517'S
 30° 59.535'E, 20° 11.426'S
 31° 0.355'E, 20° 11.268'S
 30° 59.589'E, 20° 12.654'S
 30° 59.598'E, 20° 13.043'S
 31° 0.626'E, 20° 11.134'S
 31° 0.231'E, 20° 13.134'S
 30° 59.981'E, 20° 13.218'S
 31° 0.101'E, 20° 13.404'S
 31° 0.490'E, 20° 13.271'S
 31° 0.573'E, 20° 12.984'S
 31° 0.951'E, 20° 13.075'S
 31° 1.289'E, 20° 13.150'S
 31° 1.447'E, 20° 13.236'S
 31° 0.912'E, 20° 13.699'S
 31° 1.157'E, 20° 13.440'S
 31° 1.102'E, 20° 13.860'S
 31° 1.365'E, 20° 13.652'S
 31° 1.611'E, 20° 13.559'S
 31° 1.673'E, 20° 13.890'S
 31° 1.586'E, 20° 14.435'S
 31° 1.403'E, 20° 14.378'S
 31° 1.700'E, 20° 14.648'S
 31° 1.982'E, 20° 14.355'S
 31° 1.846'E, 20° 13.858'S
 31° 1.933'E, 20° 13.633'S
 31° 2.181'E, 20° 13.560'S
 31° 2.428'E, 20° 13.383'S
 31° 2.445'E, 20° 12.931'S
 31° 2.672'E, 20° 12.934'S
 31° 2.826'E, 20° 13.167'S
 31° 3.122'E, 20° 13.193'S
 31° 3.171'E, 20° 12.950'S
 31° 2.988'E, 20° 12.758'S
 31° 2.749'E, 20° 12.744'S
 31° 2.781'E, 20° 12.461'S
 31° 2.472'E, 20° 12.382'S
 31° 1.865'E, 20° 12.545'S
 31° 1.697'E, 20° 12.348'S
 31° 1.143'E, 20° 12.219'S
 31° 0.948'E, 20° 12.100'S
 31° 1.212'E, 20° 12.000'S
 31° 1.617'E, 20° 11.983'S
 31° 1.759'E, 20° 11.872'S
 31° 1.914'E, 20° 11.926'S
 31° 1.802'E, 20° 11.783'S
 31° 1.965'E, 20° 11.730'S
 31° 1.329'E, 20° 11.598'S
 31° 0.784'E, 20° 11.559'S
 31° 1.427'E, 20° 11.349'S
 31° 2.163'E, 20° 11.364'S
 31° 2.556'E, 20° 11.401'S
 31° 2.123'E, 20° 11.077'S
 31° 2.009'E, 20° 10.895'S
 31° 2.026'E, 20° 10.634'S
 31° 2.275'E, 20° 10.568'S
 31° 2.654'E, 20° 10.668'S
 31° 2.897'E, 20° 10.896'S
 31° 2.966'E, 20° 10.719'S
 31° 3.035'E, 20° 10.710'S
 31° 3.190'E, 20° 10.555'S
 31° 3.379'E, 20° 10.656'S
 31° 3.369'E, 20° 10.859'S
 31° 3.753'E, 20° 10.967'S
 31° 3.989'E, 20° 10.792'S
 31° 3.759'E, 20° 10.315'S
 31° 3.833'E, 20° 9.938'S
 31° 3.862'E, 20° 9.332'S
 31° 3.209'E, 20° 8.911'S
 31° 2.676'E, 20° 9.195'S
 31° 2.400'E, 20° 8.777'S
 31° 1.905'E, 20° 8.542'S
 31° 1.432'E, 20° 8.714'S
 31° 1.390'E, 20° 8.517'S
 31° 1.727'E, 20° 8.292'S
 31° 1.659'E, 20° 7.986'S
 31° 1.377'E, 20° 7.547'S
 31° 1.078'E, 20° 7.192'S
 30° 59.960'E, 20° 7.085'S
 30° 59.764'E, 20° 6.487'S
 31° 0.177'E, 20° 6.487'S
 31° 1.120'E, 20° 6.516'S
 31° 1.576'E, 20° 6.490'S
 31° 3.678'E, 20° 7.227'S
 31° 4.006'E, 20° 7.510'S
 31° 3.313'E, 20° 7.907'S
 31° 3.284'E, 20° 8.653'S
 31° 2.679'E, 20° 8.899'S
 31° 2.114'E, 20° 8.350'S
 31° 1.687'E, 20° 7.493'S
 31° 3.091'E, 20° 7.220'S
 31° 3.664'E, 20° 6.759'S
 31° 4.121'E, 20° 7.203'S
 31° 3.602'E, 20° 8.070'S
 31° 3.634'E, 20° 8.800'S
 31° 4.297'E, 20° 9.477'S
 31° 4.127'E, 20° 10.348'S
 31° 4.383'E, 20° 10.936'S
 31° 3.497'E, 20° 11.397'S
 31° 2.922'E, 20° 11.985'S
 31° 3.546'E, 20° 12.476'S
